feature_id	kind	vendor_evidence	provider	vendor_disable	target_config	target_dt	target_artifact	test_id
config:CONFIG_ARCH_HAS_TEARDOWN_DMA_OPS	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARCH_HAS_TEARDOWN_DMA_OPS"]	mainline	["CONFIG_ARCH_HAS_TEARDOWN_DMA_OPS=n"]	["CONFIG_ARCH_HAS_TEARDOWN_DMA_OPS=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARCH_HAS_UBSAN_SANITIZE_ALL	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARCH_HAS_UBSAN_SANITIZE_ALL"]	mainline	["CONFIG_ARCH_HAS_UBSAN_SANITIZE_ALL=n"]	["CONFIG_ARCH_HAS_UBSAN_SANITIZE_ALL=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARCH_HAS_ZONE_DMA_SET	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARCH_HAS_ZONE_DMA_SET"]	mainline	["CONFIG_ARCH_HAS_ZONE_DMA_SET=n"]	["CONFIG_ARCH_HAS_ZONE_DMA_SET=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARCH_INLINE_READ_LOCK	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARCH_INLINE_READ_LOCK"]	mainline	["CONFIG_ARCH_INLINE_READ_LOCK=n"]	["CONFIG_ARCH_INLINE_READ_LOCK=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARCH_INLINE_READ_LOCK_BH	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARCH_INLINE_READ_LOCK_BH"]	mainline	["CONFIG_ARCH_INLINE_READ_LOCK_BH=n"]	["CONFIG_ARCH_INLINE_READ_LOCK_BH=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARCH_INLINE_READ_LOCK_IRQ	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARCH_INLINE_READ_LOCK_IRQ"]	mainline	["CONFIG_ARCH_INLINE_READ_LOCK_IRQ=n"]	["CONFIG_ARCH_INLINE_READ_LOCK_IRQ=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARCH_INLINE_READ_LOCK_IRQSAVE	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARCH_INLINE_READ_LOCK_IRQSAVE"]	mainline	["CONFIG_ARCH_INLINE_READ_LOCK_IRQSAVE=n"]	["CONFIG_ARCH_INLINE_READ_LOCK_IRQSAVE=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARCH_INLINE_READ_UNLOCK	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARCH_INLINE_READ_UNLOCK"]	mainline	["CONFIG_ARCH_INLINE_READ_UNLOCK=n"]	["CONFIG_ARCH_INLINE_READ_UNLOCK=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARCH_INLINE_READ_UNLOCK_BH	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARCH_INLINE_READ_UNLOCK_BH"]	mainline	["CONFIG_ARCH_INLINE_READ_UNLOCK_BH=n"]	["CONFIG_ARCH_INLINE_READ_UNLOCK_BH=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARCH_INLINE_READ_UNLOCK_IRQ	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARCH_INLINE_READ_UNLOCK_IRQ"]	mainline	["CONFIG_ARCH_INLINE_READ_UNLOCK_IRQ=n"]	["CONFIG_ARCH_INLINE_READ_UNLOCK_IRQ=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARCH_INLINE_READ_UNLOCK_IRQRESTORE	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARCH_INLINE_READ_UNLOCK_IRQRESTORE"]	mainline	["CONFIG_ARCH_INLINE_READ_UNLOCK_IRQRESTORE=n"]	["CONFIG_ARCH_INLINE_READ_UNLOCK_IRQRESTORE=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARCH_INLINE_SPIN_LOCK	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARCH_INLINE_SPIN_LOCK"]	mainline	["CONFIG_ARCH_INLINE_SPIN_LOCK=n"]	["CONFIG_ARCH_INLINE_SPIN_LOCK=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARCH_INLINE_SPIN_LOCK_BH	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARCH_INLINE_SPIN_LOCK_BH"]	mainline	["CONFIG_ARCH_INLINE_SPIN_LOCK_BH=n"]	["CONFIG_ARCH_INLINE_SPIN_LOCK_BH=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARCH_INLINE_SPIN_LOCK_IRQ	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARCH_INLINE_SPIN_LOCK_IRQ"]	mainline	["CONFIG_ARCH_INLINE_SPIN_LOCK_IRQ=n"]	["CONFIG_ARCH_INLINE_SPIN_LOCK_IRQ=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARCH_INLINE_SPIN_LOCK_IRQSAVE	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARCH_INLINE_SPIN_LOCK_IRQSAVE"]	mainline	["CONFIG_ARCH_INLINE_SPIN_LOCK_IRQSAVE=n"]	["CONFIG_ARCH_INLINE_SPIN_LOCK_IRQSAVE=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARCH_INLINE_SPIN_TRYLOCK	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARCH_INLINE_SPIN_TRYLOCK"]	mainline	["CONFIG_ARCH_INLINE_SPIN_TRYLOCK=n"]	["CONFIG_ARCH_INLINE_SPIN_TRYLOCK=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARCH_INLINE_SPIN_TRYLOCK_BH	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARCH_INLINE_SPIN_TRYLOCK_BH"]	mainline	["CONFIG_ARCH_INLINE_SPIN_TRYLOCK_BH=n"]	["CONFIG_ARCH_INLINE_SPIN_TRYLOCK_BH=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARCH_INLINE_SPIN_UNLOCK	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARCH_INLINE_SPIN_UNLOCK"]	mainline	["CONFIG_ARCH_INLINE_SPIN_UNLOCK=n"]	["CONFIG_ARCH_INLINE_SPIN_UNLOCK=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARCH_INLINE_SPIN_UNLOCK_BH	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARCH_INLINE_SPIN_UNLOCK_BH"]	mainline	["CONFIG_ARCH_INLINE_SPIN_UNLOCK_BH=n"]	["CONFIG_ARCH_INLINE_SPIN_UNLOCK_BH=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARCH_INLINE_SPIN_UNLOCK_IRQ	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARCH_INLINE_SPIN_UNLOCK_IRQ"]	mainline	["CONFIG_ARCH_INLINE_SPIN_UNLOCK_IRQ=n"]	["CONFIG_ARCH_INLINE_SPIN_UNLOCK_IRQ=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARCH_INLINE_SPIN_UNLOCK_IRQRESTORE	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARCH_INLINE_SPIN_UNLOCK_IRQRESTORE"]	mainline	["CONFIG_ARCH_INLINE_SPIN_UNLOCK_IRQRESTORE=n"]	["CONFIG_ARCH_INLINE_SPIN_UNLOCK_IRQRESTORE=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARCH_INLINE_WRITE_LOCK	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARCH_INLINE_WRITE_LOCK"]	mainline	["CONFIG_ARCH_INLINE_WRITE_LOCK=n"]	["CONFIG_ARCH_INLINE_WRITE_LOCK=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARCH_INLINE_WRITE_LOCK_BH	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARCH_INLINE_WRITE_LOCK_BH"]	mainline	["CONFIG_ARCH_INLINE_WRITE_LOCK_BH=n"]	["CONFIG_ARCH_INLINE_WRITE_LOCK_BH=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARCH_INLINE_WRITE_LOCK_IRQ	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARCH_INLINE_WRITE_LOCK_IRQ"]	mainline	["CONFIG_ARCH_INLINE_WRITE_LOCK_IRQ=n"]	["CONFIG_ARCH_INLINE_WRITE_LOCK_IRQ=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARCH_INLINE_WRITE_LOCK_IRQSAVE	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARCH_INLINE_WRITE_LOCK_IRQSAVE"]	mainline	["CONFIG_ARCH_INLINE_WRITE_LOCK_IRQSAVE=n"]	["CONFIG_ARCH_INLINE_WRITE_LOCK_IRQSAVE=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARCH_INLINE_WRITE_UNLOCK	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARCH_INLINE_WRITE_UNLOCK"]	mainline	["CONFIG_ARCH_INLINE_WRITE_UNLOCK=n"]	["CONFIG_ARCH_INLINE_WRITE_UNLOCK=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARCH_INLINE_WRITE_UNLOCK_BH	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARCH_INLINE_WRITE_UNLOCK_BH"]	mainline	["CONFIG_ARCH_INLINE_WRITE_UNLOCK_BH=n"]	["CONFIG_ARCH_INLINE_WRITE_UNLOCK_BH=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARCH_INLINE_WRITE_UNLOCK_IRQ	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARCH_INLINE_WRITE_UNLOCK_IRQ"]	mainline	["CONFIG_ARCH_INLINE_WRITE_UNLOCK_IRQ=n"]	["CONFIG_ARCH_INLINE_WRITE_UNLOCK_IRQ=n"]	[]	[]	["board-io-security.sh"]
